"Category,Category Name,Subcategory,Subcategory Name,Item ID,Product Name,Description,Purchase Price,Purchase Date"
"100,Electronics,100001,Televisions,100001001,Smart TV,4K Ultra HD,799.99,2023-10-01"
"100,Electronics,100001,Televisions,100001002,LED TV,Full HD,599.99,2023-09-15"
"100,Electronics,100001,Televisions,100001003,OLED TV,Curved Screen,1499.99,2023-09-20"
"100,Electronics,100002,Smartphones,100002001,Smartphone,5G,699.99,2023-09-20"
"100,Electronics,100002,Smartphones,100002002,Smartwatch,Water Resistant,199.99,2023-08-10"
"100,Electronics,100002,Smartphones,100002003,Headphones,Noise Cancelling,149.99,2023-09-12"
"200,Clothing,200001,Men's,200001001,Shirt,Cotton Casual,29.99,2023-09-12"
"200,Clothing,200001,Men's,200001002,Pants,Slim Fit Jeans,39.99,2023-08-28"
"200,Clothing,200001,Men's,200001003,Jacket,Waterproof,79.99,2023-10-02"
"300,Groceries,300001,Dairy & Eggs,300001001,Milk,Whole Milk,2.99,2023-09-30"
"300,Groceries,300001,Dairy & Eggs,300001002,Cheese,Cheddar,5.49,2023-09-10"
"300,Groceries,300001,Dairy & Eggs,300001003,Eggs,Free-Range,3.99,2023-09-18"
"400,Home and Furniture,400001,Living Room,400001001,Sofa,Leather Recliner,899.99,2023-08-20"
"400,Home and Furniture,400001,Living Room,400001002,Coffee Table,Wooden with Glass Top,249.99,2023-09-05"
"400,Home and Furniture,400001,Living Room,400001003,Bookshelf,5-Tier,149.99,2023-08-15"
"500,Sports & Outdoors,500001,Fitness,500001001,Treadmill,Foldable,999.99,2023-09-15"
"500,Sports & Outdoors,500001,Fitness,500001002,Dumbbells,Adjustable Pair,49.99,2023-08-28"
"500,Sports & Outdoors,500001,Fitness,500001003,Yoga Mat,Eco-Friendly,24.99,2023-10-01"
"200,Clothing,200002,Women's,200002001,Running Shoes,Lightweight,79.99,2023-09-25"
"200,Clothing,200002,Women's,200002002,Yoga Pants,Breathable Fabric,39.99,2023-09-18"
"200,Clothing,200002,Women's,200002003,Backpack,Hiking Backpack,99.99,2023-08-30"